"CAMBRIDGE, MA US (USC00191097)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1886-02-07,,30,5,0.00,,
1886-02-08,,38,19,0.00,,
1886-02-09,,48,28,0.00,,
1886-02-10,,40,29,0.00,,
1886-02-11,,37,34,0.09,,
1886-02-12,,52,33,2.47,,
1886-02-13,,51,35,3.12,,
1886-02-14,,49,36,0.02,,
1886-02-15,,51,36,0.00,,
1886-02-16,,36,30,0.06,,
1886-02-17,,36,16,0.00,,
1886-02-18,,45,21,0.00,,
1886-02-19,,48,27,0.00,,
1886-02-20,,38,,0.64,,
1886-02-21,,,8,0.00,,
1886-02-22,,36,15,0.01,,
1886-02-23,,40,21,0.00,,
1886-02-24,,28,11,0.00,,
1886-02-25,,43,10,0.00,,
1886-02-26,,25,,1.14,,
1886-02-27,,,3,0.01,,
1886-02-28,,21,6,0.00,,
1886-03-01,,13,-1,,,
1886-03-02,,24,-1,,,
1886-03-03,,31,12,,,
1886-03-04,,38,21,,,
1886-03-05,,37,24,,,
1886-03-06,,36,26,,,
1886-03-07,,34,19,,,
1886-03-08,,36,20,,,
1886-03-09,,26,21,0.07,,
1886-03-10,,34,15,,,
1886-03-11,,42,20,,,
1886-03-12,,45,32,,,
1886-03-13,,42,33,0.04,,
1886-03-14,,41,25,0.29,,
1886-03-15,,39,31,,,
1886-03-16,,48,30,0.44,,
1886-03-17,,43,27,,,
1886-03-18,,48,26,,,
1886-03-19,,39,26,,,
1886-03-20,,38,30,0.57,,
1886-03-21,,40,34,1.41,,
1886-03-22,,45,31,0.04,,
1886-03-23,,40,32,,,
1886-03-24,,39,22,,,
1886-03-25,,45,25,,,
1886-03-26,,51,38,,,
1886-03-27,,51,35,,,
1886-03-28,,44,32,0.33,,
1886-03-29,,43,28,,,
1886-03-30,,49,36,0.42,,
1886-03-31,,62,37,0.31,,
1886-04-01,,54,48,0.04,,
1886-04-02,,54,36,0.00,,
1886-04-03,,38,33,0.02,,
1886-04-04,,40,26,0.04,,
1886-04-05,,43,30,0.00,,
1886-04-06,,41,34,0.38,,
1886-04-07,,39,35,1.46,,
1886-04-08,,45,31,0.00,,
1886-04-09,,60,30,0.02,,
1886-04-10,,64,42,0.00,,
1886-04-11,,50,32,0.00,,
1886-04-12,,60,32,0.00,,
1886-04-13,,62,49,0.01,,
1886-04-14,,62,49,0.04,,
1886-04-15,,66,36,0.00,,
1886-04-16,,50,38,0.00,,
1886-04-17,,63,40,0.00,,
1886-04-18,,73,39,0.00,,
