"species","site","lat","long","confidence","region","salinity","affinity"
"Aglaodiaptomus spatulocrenatus","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water","T"
"Onychodiaptomus birgei","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water","W"
"Onychodiaptomus birgei","Lily Pond (2)",41.565882,-70.648965,"medium","Falmouth","fresh water","W"
"Onychodiaptomus birgei","Lily Pond (1)",41.519596,-70.654581,"medium","Woods Hole","fresh water","W"
"Onychodiaptomus birgei","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water","W"
"Onychodiaptomus birgei","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water","W"
"Skistodiaptomus pygmaeus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water","C"
"Skistodiaptomus pygmaeus","Bournes Pond",41.601379,-70.637841,"medium","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Jenkins Pond",41.596333,-70.585248,"high","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Jones Pond",41.562196,-70.606787,"high","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Browns Pond (Spectacle Pond)",41.587796,-70.592626,"high","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Sidleys Pond",41.549119,-70.622066,"medium","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Salt Pond",41.542503,-70.627012,"high","Falmouth","fresh water","C"
"Skistodiaptomus pygmaeus","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water","C"
"Skistodiaptomus pygmaeus","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water","C"
"Skistodiaptomus pygmaeus","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water","C"
"Skistodiaptomus pygmaeus","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water","C"
"Skistodiaptomus pygmaeus","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water","C"
"Skistodiaptomus pygmaeus","Mashpee Pond (Wakeby Pond)",41.664209,-70.486267,"high","Cape Cod","fresh water","C"
"Epischura nordenskiöldi","Lily Pond (3)",41.625968,-70.536439,"medium","Falmouth","fresh water","T"
"Epischura nordenskiöldi","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water","T"
"Epischura nordenskiöldi","pond beside State road",NA,NA,"","Falmouth","fresh water","T"
"Epischura nordenskiöldi","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water","T"
"Epischura nordenskiöldi","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water","T"
"Epischura nordenskiöldi","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water","T"
"Epischura nordenskiöldi","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water","T"
"Epischura nordenskiöldi","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water","T"
"Epischura nordenskiöldi","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water","T"
"Epischura nordenskiöldi","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water","T"
"Epischura nordenskiöldi","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water","T"
"Epischura nordenskiöldi","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water","T"
"Epischura nordenskiöldi","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water","T"
"Epischura nordenskiöldi","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water","T"
"Epischura nordenskiöldi","Clear Pond",41.686816,-69.972661,"low","Cape Cod","fresh water","T"
"Eurytemora affinis","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish","W"
"Acartia tonsa","Eel Pond",41.56151,-70.538146,"high","Falmouth","brackish","W"
"Acartia tonsa","Great Pond (1)",41.558352,-70.582171,"high","Falmouth","brackish","W"
"Acartia tonsa","Green Pond",41.558845,-70.569527,"high","Falmouth","brackish","W"
"Acartia tonsa","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water","W"
"Acartia tonsa","the small pond at the head of the bay (Waquoit)",41.581716,-70.518867,"low","Falmouth","brackish","W"
"Acartia tonsa","Waquoit Bay",41.566571,-70.522536,"high","Falmouth","brackish","W"
"Acartia tonsa","Oak Bluffs Pond",41.458892,-70.579088,"low","Marthas Vineyard","brackish","W"
"Acartia tonsa","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish","W"
"Acartia tonsa","Sengekontacket Pond",41.410956,-70.549244,"high","Marthas Vineyard","brackish","W"
"Acartia tonsa","Nashaquitsa Pond",41.327424,-70.767612,"high","Marthas Vineyard","brackish","W"
"Acartia tonsa","Edgartown Great Pond",41.353648,-70.559283,"high","Marthas Vineyard","brackish","W"
"Acartia tonsa","two of the small ponds along the shore of Katama Bay",NA,NA,"","Chappaquiddick Island","brackish","W"
"Acartia tonsa","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water","W"
"Acartia tonsa","Lower Gosnold Pond",41.41371,-70.946912,"high","Elizabeth Islands","brackish","W"
"Acartia tonsa","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water","W"
"Acartia tonsa","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water","W"
"Acartia tonsa","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish","W"
"Megacyclops viridis","Salt Pond",41.542503,-70.627012,"high","Falmouth","fresh water","W"
"Megacyclops viridis","Sidleys Pond",41.549119,-70.622066,"medium","Falmouth","fresh water","W"
"Megacyclops viridis","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water","W"
"Megacyclops viridis","Flax Pond (1)",41.554867,-70.648434,"low","Falmouth","fresh water","W"
"Megacyclops viridis","Lily Pond (3)",41.625968,-70.536439,"medium","Falmouth","fresh water","W"
"Megacyclops viridis","Ice Pond (2)",41.417616,-70.940987,"high","Elizabeth Islands","fresh water","W"
"Megacyclops viridis","a small pond near Chatham",NA,NA,"","Cape Cod","fresh water","W"
"Megacyclops viridis","Uncatena Pond",41.518719,-70.704651,"medium","Elizabeth Islands","fresh water","W"
"Megacyclops viridis","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water","W"
"Megacyclops viridis","Jones Pond",41.562196,-70.606787,"high","Falmouth","fresh water","W"
"Megacyclops viridis","Tarpaulin Cove Pond",NA,NA,"","Elizabeth Islands","fresh water","W"
"Megacyclops viridis","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water","W"
"Microcyclops varicans","three of the brackish ponds on Chappaquiddick Island",NA,NA,"","Chappaquiddick Island","brackish","W"
"Microcyclops varicans","Poucha Pond",41.359544,-70.45358,"high","Chappaquiddick Island","brackish","W"
"Microcyclops varicans","Quissett Pond",41.537126,-70.656676,"low","Woods Hole","brackish","W"
"Microcyclops varicans","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water","W"
"Microcyclops varicans","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish","W"
"Microcyclops bicolor","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water","T"
"Microcyclops bicolor","Farm Pond",41.447288,-70.556482,"high","Marthas Vineyard","brackish","T"
"Microcyclops bicolor","Weedy Pond",41.686275,-69.979759,"low","Cape Cod","fresh water","T"
"Orthocyclops modestus","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water","W"
"Macrocyclops fuscus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water","W"
"Macrocyclops fuscus","Jones Pond",41.562196,-70.606787,"high","Falmouth","fresh water","W"
"Macrocyclops fuscus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water","W"
"Macrocyclops albidus","Mill Pond",41.528492,-70.671882,"high","Woods Hole","fresh water","W"
"Macrocyclops albidus","Salt Pond",41.542503,-70.627012,"high","Falmouth","fresh water","W"
"Macrocyclops albidus","Oyster Pond",41.539753,-70.63824,"high","Falmouth","fresh water","W"
"Macrocyclops albidus","Sidleys Pond",41.549119,-70.622066,"medium","Falmouth","fresh water","W"
"Macrocyclops albidus","Little Pond",41.551214,-70.588759,"high","Falmouth","fresh water","W"
"Macrocyclops albidus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water","W"
"Macrocyclops albidus","two small ponds on the main road west of Chatham",NA,NA,"","Cape Cod","fresh water","W"
"Macrocyclops albidus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water","W"
"Macrocyclops albidus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water","W"
"Macrocyclops albidus","Ice Pond (1)",41.548013,-70.650592,"low","Falmouth","fresh water","W"
"Macrocyclops albidus","Crockers Pond",41.616851,-70.624732,"high","Falmouth","fresh water","W"
"Eucyclops pectinifer","Mill Pond",41.528492,-70.671882,"high","Woods Hole","fresh water","W"
"Eucyclops pectinifer","Lily Pond (1)",41.519596,-70.654581,"medium","Woods Hole","fresh water","W"
"Eucyclops pectinifer","Fresh Pond",41.518147,-70.658595,"medium","Woods Hole","fresh water","W"
"Eucyclops pectinifer","Lower Cotuit Pond",NA,NA,"","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Middle Cotuit Pond",NA,NA,"","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Upper Cotuit Pond",41.654402,-70.459579,"medium","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Lovells Pond",41.648461,-70.441941,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Long Pond (1)",41.667325,-70.444256,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Crescent Lake (Long Pond (2))",41.655812,-70.336402,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Shallow Pond",41.676082,-70.322485,"medium","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Long Pond (3)",41.725094,-70.064194,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Seymour Pond (Bangs Pond)",41.724364,-70.093116,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Pleasant Lake (Hinckleys Pond)",41.713074,-70.08944,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Round Pond",41.667794,-70.389451,"medium","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Flax Pond (2)",41.688794,-70.595206,"medium","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Red Brook Pond",41.678009,-70.608638,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Ashumet Pond",41.633142,-70.53373,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","John Pond",41.627975,-70.519888,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Mashpee Pond (Wakeby Pond)",41.664209,-70.486267,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Santuit Pond",41.653906,-70.457745,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Scargo Lake",41.742405,-70.18285,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Flax Pond (3)",41.716155,-70.187409,"high","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Clear Pond",41.686816,-69.972661,"low","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Weedy Pond",41.686275,-69.979759,"low","Cape Cod","fresh water","W"
"Eucyclops pectinifer","a small pond near Chatham",NA,NA,"","Cape Cod","fresh water","W"
"Eucyclops pectinifer","two small ponds on the main road west of Chatham",NA,NA,"","Cape Cod","fresh water","W"
"Eucyclops pectinifer","Edgartown Great Pond",41.353648,-70.559283,"high","Marthas Vineyard","brackish","W"
"Eucyclops pectinifer","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Uncatena Pond",41.518719,-70.704651,"medium","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Marys Lake",41.506072,-70.713589,"high","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Pond near lighthouse at Tarpaulin Cove",41.467297,-70.756949,"medium","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Pond near the beach north of the wharf at Tarpaulin Cove",41.473711,-70.761854,"medium","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","East End Pond",41.438474,-70.858237,"low","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Pond at southern end of Penikese Island",41.446666,-70.921949,"medium","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Ice Pond (2)",41.417616,-70.940987,"high","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water","W"
"Eucyclops pectinifer","Tarpaulin Cove Pond",NA,NA,"","Elizabeth Islands","fresh water","W"
"Tropocyclops prasinus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water","W"
"Tropocyclops prasinus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water","W"
"Tropocyclops prasinus","small pond near Edgartown",NA,NA,"","Marthas Vineyard","fresh water","W"
"Tropocyclops prasinus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water","W"
"Paracyclops fimbriatus","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water","T"
"Paracyclops fimbriatus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water","T"
