"species","site","lat","long","confidence","region","salinity"
"Eucyclops pectinifer","Santuit Pond",41.653906,-70.457745,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Scargo Lake",41.742405,-70.18285,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Flax Pond (3)",41.716155,-70.187409,"high","Cape Cod","fresh water"
"Eucyclops pectinifer","Clear Pond",41.686816,-69.972661,"low","Cape Cod","fresh water"
"Eucyclops pectinifer","Weedy Pond",41.686275,-69.979759,"low","Cape Cod","fresh water"
"Eucyclops pectinifer","a small pond near Chatham",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","two small ponds on the main road west of Chatham",NA,NA,"","Cape Cod","fresh water"
"Eucyclops pectinifer","Edgartown Great Pond",41.353648,-70.559283,"high","Marthas Vineyard","brackish"
"Eucyclops pectinifer","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Uncatena Pond",41.518719,-70.704651,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Marys Lake",41.506072,-70.713589,"high","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Pond near lighthouse at Tarpaulin Cove",41.467297,-70.756949,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Pond near the beach north of the wharf at Tarpaulin Cove",41.473711,-70.761854,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","French Watering Place",41.46134,-70.767271,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","West End Pond",41.463719,-70.795364,"high","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","East End Pond",41.438474,-70.858237,"low","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Pond at southern end of Penikese Island",41.446666,-70.921949,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Ice Pond (2)",41.417616,-70.940987,"high","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Eucyclops pectinifer","Tarpaulin Cove Pond",NA,NA,"","Elizabeth Islands","fresh water"
"Tropocyclops prasinus","Outlet Pond",41.621344,-70.530123,"low","Cape Cod","fresh water"
"Tropocyclops prasinus","Chequaquet Lake (Great Pond (2))",41.671603,-70.342772,"medium","Cape Cod","fresh water"
"Tropocyclops prasinus","small pond near Edgartown",NA,NA,"","Marthas Vineyard","fresh water"
"Tropocyclops prasinus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
"Paracyclops fimbriatus","Upper Gosnold Pond",41.415675,-70.941544,"medium","Elizabeth Islands","fresh water"
"Paracyclops fimbriatus","Rams Head Pond",41.523594,-70.680973,"medium","Elizabeth Islands","fresh water"
